host,clock,net.if.in[ens160],net.if.out[ens160],"proc.num[,,run]",proc.num[],system.cpu.intr,"system.cpu.load[percpu,avg1]","system.cpu.load[percpu,avg15]","system.cpu.load[percpu,avg5]",system.cpu.switches,"system.cpu.util[,idle]","system.cpu.util[,interrupt]","system.cpu.util[,iowait]","system.cpu.util[,nice]","system.cpu.util[,softirq]","system.cpu.util[,steal]","system.cpu.util[,system]","system.cpu.util[,user]","system.swap.size[,free]","system.swap.size[,pfree]","system.swap.size[,total]","vfs.fs.inode[/,pfree]","vfs.fs.inode[/boot,pfree]","vfs.fs.inode[/var/lib/docker/aufs,pfree]","vfs.fs.inode[/var/lib/kubelet,pfree]","vfs.fs.inode[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/,pfree]","vfs.fs.size[/,total]","vfs.fs.size[/,used]","vfs.fs.size[/boot,free]","vfs.fs.size[/boot,pfree]","vfs.fs.size[/boot,total]","vfs.fs.size[/boot,used]","vfs.fs.size[/var/lib/docker/aufs,pfree]","vfs.fs.size[/var/lib/docker/aufs,total]","vfs.fs.size[/var/lib/docker/aufs,used]","vfs.fs.size[/var/lib/kubelet,free]","vfs.fs.size[/var/lib/kubelet,pfree]","vfs.fs.size[/var/lib/kubelet,total]","vfs.fs.size[/var/lib/kubelet,used]","vfs.fs.size[/var/lib/rancher/volumes,free]","vfs.fs.size[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/var/lib/rancher/volumes,total]","vfs.fs.size[/var/lib/rancher/volumes,used]",vm.memory.size[available],vm.memory.size[total],cpu,mem,io
10274,1524549607,284624,588608,5,210,1230,0.03,0.09,0.1,4695,95.8876,0,0.6091,0,0.3046,0,1.5908,4.8393,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5311,79680208896,7159365632,408983552,87.2071,494512128,59996160,90.5311,79680208896,7159373824,68449644544,90.5311,79680208896,7159365632,68449636352,90.5311,79680208896,7159373824,3484332032,4143763456,1,0,0
10274,1524549612,315672,138272,3,210,1406,0.11,0.09,0.12,4539,87.8404,0,0.5755,0,0.3045,0,1.6235,11.2051,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5311,79680208896,7159373824,408983552,87.2071,494512128,59996160,90.531,79680208896,7159386112,68449636352,90.5311,79680208896,7159373824,68449624064,90.531,79680208896,7159386112,3484196864,4143763456,1,0,0
10274,1524549617,201952,86552,3,210,1418,0.18,0.1,0.13,4290,81.417,0,0.5747,0,0.338,0,1.6399,19.3036,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.531,79680208896,7159398400,408983552,87.2071,494512128,59996160,90.531,79680208896,7159398400,68449624064,90.531,79680208896,7159386112,68449611776,90.531,79680208896,7159398400,3484237824,4143763456,1,0,0
10274,1524549622,269584,107704,3,210,1461,0.25,0.1,0.15,5054,73.4291,0,0.4895,0,0.3375,0,1.6717,27.2789,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.531,79680208896,7159406592,408983552,87.2071,494512128,59996160,90.531,79680208896,7159406592,68449603584,90.531,79680208896,7159406592,68449603584,90.531,79680208896,7159406592,3484250112,4143763456,1,0,0
10274,1524549627,227896,113784,3,210,1388,0.31,0.11,0.16,4643,65.4521,0,0.4553,0,0.3034,0,1.6192,35.43,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.531,79680208896,7159414784,408983552,87.2071,494512128,59996160,90.531,79680208896,7159414784,68449595392,90.531,79680208896,7159414784,68449587200,90.531,79680208896,7159422976,3484385280,4143763456,1,0,0
10274,1524549632,308448,86400,3,210,1428,0.36,0.11,0.18,4815,57.2994,0,0.4043,0,0.3031,0,1.6173,43.531,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.531,79680208896,7159422976,408983552,87.2071,494512128,59996160,90.531,79680208896,7159422976,68449587200,90.531,79680208896,7159422976,68449587200,90.531,79680208896,7159422976,3484123136,4143763456,1,0,0
10274,1524549637,272216,93696,3,210,1366,0.41,0.12,0.19,4443,47.5934,0,0.3701,0,0.3197,0,1.5988,53.3311,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.531,79680208896,7159431168,408983552,87.2071,494512128,59996160,90.531,79680208896,7159439360,68449579008,90.531,79680208896,7159431168,68449570816,90.531,79680208896,7159439360,3484131328,4143763456,1,0,0
10274,1524549642,160960,113032,3,210,1426,0.46,0.12,0.2,4649,39.583,0,0.3697,0,0.3366,0,1.6305,61.2941,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.531,79680208896,7159439360,408983552,87.2071,494512128,59996160,90.531,79680208896,7159447552,68449570816,90.531,79680208896,7159439360,68449562624,90.531,79680208896,7159447552,3484004352,4143763456,1,0,0
10274,1524549647,272856,94152,4,211,1395,0.5,0.13,0.22,4733,31.6675,0,0.3531,0,0.3529,0,1.6655,69.1609,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.531,79680208896,7159447552,408983552,87.2071,494512128,59996160,90.5309,79680208896,7159455744,68449562624,90.531,79680208896,7159447552,68449554432,90.5309,79680208896,7159455744,3484008448,4143763456,1,0,0
10274,1524549652,296592,112256,4,211,1476,0.54,0.13,0.23,4654,23.7023,0,0.3358,0,0.3691,0,1.6126,77.1659,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5309,79680208896,7159459840,408983552,87.2071,494512128,59996160,90.5309,79680208896,7159468032,68449550336,90.5309,79680208896,7159459840,68449542144,90.5309,79680208896,7159468032,3484143616,4143763456,1,0,0
